Rank 	Metropolitan statistical area 	2019 estimate 	2010 Census 	% change 	Encompassing combined statistical area
24	San Antonio-New Braunfels, TX MSA 	2550960	2142508	+19.06%	
25	Portland-Vancouver-Hillsboro, OR-WA MSA 	2492412	2226009	+11.97% 	Portland-Vancouver-Salem, OR-WA CSA
26	Sacramento-Roseville-Folsom, CA MSA 	2363730	2149127	+9.99% 	Sacramento-Roseville, CA CSA
27	Pittsburgh, PA MSA 	2317600	2356285	−1.64% 	Pittsburgh-New Castle-Weirton, PA-OH-WV CSA
28	Las Vegas-Henderson-Paradise, NV MSA 	2266715	1951269	+16.17% 	Las Vegas-Henderson, NV-AZ CSA
29	Austin-Round Rock-Georgetown, TX MSA 	2227083	1716289	+29.76%	
30	Cincinnati, OH-KY-IN MSA 	2221208	2137667	+3.91% 	Cincinnati-Wilmington-Maysville, OH-KY-IN CSA
31	Kansas City, MO-KS MSA 	2157990	2009342	+7.40% 	Kansas City-Overland Park-Kansas City, MO-KS CSA
32	Columbus, OH MSA 	2122271	1901974	+11.58% 	Columbus-Marion-Zanesville, OH CSA
33	Indianapolis-Carmel-Anderson, IN MSA 	2074537	1887877	+9.89% 	Indianapolis-Carmel-Muncie, IN CSA
34	Cleveland-Elyria, OH MSA 	2048449	2077240	−1.39% 	Cleveland-Akron-Canton, OH CSA
35	San Jose-Sunnyvale-Santa Clara, CA MSA 	1990660	1836911	+8.37% 	San Jose-San Francisco-Oakland, CA CSA
36	Nashville-Davidson–Murfreesboro–Franklin, TN MSA 	1934317	1646200	+17.50% 	Nashville-Davidson–Murfreesboro, TN CSA
37	Virginia Beach-Norfolk-Newport News, VA-NC MSA 	1768901	1713954	+3.21% 	Virginia Beach-Norfolk, VA-NC CSA
38	Providence-Warwick, RI-MA MSA 	1624578	1600852	+1.48% 	Boston-Worcester-Providence, MA-RI-NH-CT CSA
39	Milwaukee-Waukesha, WI MSA 	1575179	1555908	+1.24% 	Milwaukee-Racine-Waukesha, WI CSA
40	Jacksonville, FL MSA 	1559514	1345596	+15.90% 	Jacksonville-St. Marys-Palatka, FL-GA CSA
41	Oklahoma City, OK MSA 	1408950	1252987	+12.45% 	Oklahoma City-Shawnee, OK CSA
42	Raleigh-Cary, NC MSA 	1390785	1130490	+23.02% 	Raleigh-Durham-Cary, NC CSA
43	Memphis, TN-MS-AR MSA 	1346045	1316100	+2.28% 	Memphis-Forrest City, TN-MS-AR CSA
44	Richmond, VA MSA 	1291900	1186501	+8.88%	
45	New Orleans-Metairie, LA MSA 	1270530	1189866	+6.78% 	New Orleans-Metairie-Hammond, LA-MS CSA
46	Louisville/Jefferson County, KY-IN MSA 	1265108	1202718	+5.19% 	Louisville/Jefferson County–Elizabethtown–Bardstown, KY-IN CSA
47	Salt Lake City, UT MSA 	1232696	1087873	+13.31% 	Salt Lake City-Provo-Orem, UT CSA
48	Hartford-East Hartford-Middletown, CT MSA 	1204877	1212381	−0.62% 	Hartford-East Hartford, CT CSA
49	Buffalo-Niagara Falls, NY MSA 	1127983	1135509	−0.66% 	Buffalo-Cheektowaga-Cattaraugus, NY CSA
50	Birmingham-Hoover, AL MSA 	1090435	1061024	+2.77% 	Birmingham-Hoover-Talladega, AL CSA
51	Grand Rapids-Kentwood, MI MSA 	1077370	993670	+8.42% 	Grand Rapids-Kentwood-Muskegon, MI CSA
52	Rochester, NY MSA 	1069644	1079671	−0.93% 	Rochester-Batavia-Seneca Falls, NY CSA
53	Tucson, AZ MSA 	1047279	980263	+6.84% 	Tucson-Nogales, AZ CSA
54	Fresno, CA MSA 	999101	930450	+7.38% 	Fresno-Madera-Hanford, CA CSA
55	Tulsa, OK MSA 	998626	937478	+6.52% 	Tulsa-Muskogee-Bartlesville, OK CSA
56	Urban Honolulu, HI MSA 	974563	953207	+2.24%	
57	Omaha-Council Bluffs, NE-IA MSA 	949442	865350	+9.72% 	Omaha-Council Bluffs-Fremont, NE-IA CSA
58	Worcester, MA-CT MSA 	947404	916980	+3.32% 	Boston-Worcester-Providence, MA-RI-NH-CT CSA
59	Bridgeport-Stamford-Norwalk, CT MSA 	943332	916829	+2.89% 	New York-Newark, NY-NJ-CT-PA CSA
60	Greenville-Anderson, SC MSA 	920477	824112	+11.69% 	Greenville-Spartanburg-Anderson, SC CSA
61	Albuquerque, NM MSA 	918018	887077	+3.49% 	Albuquerque-Santa Fe-Las Vegas, NM CSA
62	Bakersfield, CA MSA 	900202	839631	+7.21%	
63	Albany-Schenectady-Troy, NY MSA 	880381	870716	+1.11% 	Albany-Schenectady, NY CSA
64	Knoxville, TN MSA 	869046	814914	+6.64% 	Knoxville-Morristown-Sevierville, TN CSA
65	McAllen-Edinburg-Mission, TX MSA 	868707	774769	+12.12% 	McAllen-Edinburg, TX CSA
66	Baton Rouge, LA MSA 	854884	825905	+3.51%	
67	New Haven-Milford, CT MSA 	854757	862477	−0.90% 	New York-Newark, NY-NJ-CT-PA CSA
68	Oxnard-Thousand Oaks-Ventura, CA MSA 	846006	823318	+2.76% 	Los Angeles-Long Beach, CA CSA
69	El Paso, TX MSA 	844124	804123	+4.97% 	El Paso-Las Cruces, TX-NM CSA
70	Allentown-Bethlehem-Easton, PA-NJ MSA 	844052	821173	+2.79%	
71	Columbia, SC MSA 	838433	767598	+9.23% 	Columbia-Orangeburg-Newberry, SC CSA
72	North Port-Sarasota-Bradenton, FL MSA 	836995	702281	+19.18% 	North Port-Sarasota, FL CSA
73	Dayton-Kettering, OH MSA 	807611	799232	+1.05% 	Dayton-Springfield-Kettering, OH CSA
74	Charleston-North Charleston, SC MSA 	802122	664607	+20.69%	
75	Greensboro-High Point, NC MSA 	771851	723801	+6.64% 	Greensboro–Winston-Salem–High Point, NC CSA
76	Cape Coral-Fort Myers, FL MSA 	770577	618754	+24.54% 	Cape Coral-Fort Myers-Naples, FL CSA
77	Stockton, CA MSA 	762148	685306	+11.21% 	San Jose-San Francisco-Oakland, CA CSA
78	Boise City, ID MSA 	749202	616561	+21.51% 	Boise City-Mountain Home-Ontario, ID-OR CSA
79	Colorado Springs, CO MSA 	745791	645613	+15.52%	
80	Little Rock-North Little Rock-Conway, AR MSA 	742384	699757	+6.09% 	Little Rock-North Little Rock, AR CSA
81	Lakeland-Winter Haven, FL MSA 	724777	602095	+20.38% 	Orlando-Lakeland-Deltona, FL CSA
82	Akron, OH MSA 	703479	703200	+0.04% 	Cleveland-Akron-Canton, OH CSA
83	Des Moines-West Des Moines, IA MSA 	699292	606475	+15.30% 	Des Moines-Ames-West Des Moines, IA CSA
84	Springfield, MA MSA 	697382	692942	+0.64%	
85	Ogden-Clearfield, UT MSA 	683864	597159	+14.52% 	Salt Lake City-Provo-Orem, UT CSA
86	Poughkeepsie-Newburgh-Middletown, NY MSA 	679158	670301	+1.32% 	New York-Newark, NY-NJ-CT-PA CSA
87	Winston-Salem, NC MSA 	676008	640595	+5.53% 	Greensboro–Winston-Salem–High Point, NC CSA
88	Deltona-Daytona Beach-Ormond Beach, FL MSA 	668365	590289	+13.23% 	Orlando-Lakeland-Deltona, FL CSA
89	Madison, WI MSA 	664865	605435	+9.82% 	Madison-Janesville-Beloit, WI CSA
90	Syracuse, NY MSA 	648593	662577	−2.11% 	Syracuse-Auburn, NY CSA
91	Provo-Orem, UT MSA 	648252	526810	+23.05% 	Salt Lake City-Provo-Orem, UT CSA
92	Durham-Chapel Hill, NC MSA 	644367	564273	+14.19% 	Raleigh-Durham-Cary, NC CSA
93	Toledo, OH MSA 	641816	651429	−1.48% 	Toledo-Findlay-Tiffin, OH CSA
94	Wichita, KS MSA 	640218	623061	+2.75% 	Wichita-Winfield, KS CSA
95	Augusta-Richmond County, GA-SC MSA 	608980	564873	+7.81%	
96	Palm Bay-Melbourne-Titusville, FL MSA 	601942	543376	+10.78% 	Orlando-Lakeland-Deltona, FL CSA
97	Jackson, MS MSA 	594806	586320	+1.45% 	Jackson-Vicksburg-Brookhaven, MS CSA
98	Harrisburg-Carlisle, PA MSA 	577941	549475	+5.18% 	Harrisburg-York-Lebanon, PA CSA
99	Spokane-Spokane Valley, WA MSA 	568521	514752	+10.45% 	Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA
100	Chattanooga, TN-GA MSA 	565194	528143	+7.02% 	Chattanooga-Cleveland-Dalton, TN-GA-AL CSA
101	Scranton–Wilkes-Barre, PA MSA 	553885	563631	−1.73%	
102	Modesto, CA MSA 	550660	514453	+7.04% 	San Jose-San Francisco-Oakland, CA CSA
103	Lansing-East Lansing, MI MSA 	550391	534684	+2.94%	
104	Lancaster, PA MSA 	545724	519445	+5.06%	
105	Portland-South Portland, ME MSA 	538500	514098	+4.75% 	Portland-Lewiston-South Portland, ME CSA
106	Youngstown-Warren-Boardman, OH-PA MSA 	536081	565773	−5.25% 	Youngstown-Warren, OH-PA CSA
107	Fayetteville-Springdale-Rogers, AR MSA 	534904	440121	+21.54%	
108	Fayetteville, NC MSA 	526719	481061	+9.49% 	Fayetteville-Lumberton-Laurinburg, NC CSA
109	Lexington-Fayette, KY MSA 	517056	472099	+9.52% 	Lexington-Fayette–Richmond–Frankfort, KY CSA
110	Pensacola-Ferry Pass-Brent, FL MSA 	502629	448991	+11.95% 	Pensacola-Ferry Pass, FL-AL CSA
111	Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA 	496901	376722	+31.90% 	Myrtle Beach-Conway, SC-NC CSA
112	Santa Rosa-Petaluma, CA MSA 	494336	483878	+2.16% 	San Jose-San Francisco-Oakland, CA CSA
113	Port St. Lucie, FL MSA 	489297	424107	+15.37% 	Miami-Port St. Lucie-Fort Lauderdale, FL CSA
114	Lafayette, LA MSA 	489207	466750	+4.81% 	Lafayette-Opelousas-Morgan City, LA CSA
115	Reno, NV MSA 	475642	425417	+11.81% 	Reno-Carson City-Fernley, NV CSA
116	Huntsville, AL MSA 	471824	417593	+12.99% 	Huntsville-Decatur, AL CSA
117	Springfield, MO MSA 	470300	436712	+7.69%	
118	Visalia, CA MSA 	466195	442179	+5.43%	
119	Asheville, NC MSA 	462680	424858	+8.90% 	Asheville-Marion-Brevard, NC CSA
120	Killeen-Temple, TX MSA 	460303	405300	+13.57%	
121	York-Hanover, PA MSA 	449058	434972	+3.24% 	Harrisburg-York-Lebanon, PA CSA
122	Vallejo, CA MSA 	447643	413344	+8.30% 	San Jose-San Francisco-Oakland, CA CSA
123	Santa Maria-Santa Barbara, CA MSA 	446499	423895	+5.33%	
124	Salinas, CA MSA 	434061	415057	+4.58%	
125	Salem, OR MSA 	433903	390738	+11.05% 	Portland-Vancouver-Salem, OR-WA CSA
126	Mobile, AL MSA 	429536	430573	−0.24% 	Mobile-Daphne-Fairhope, AL CSA
127	Corpus Christi, TX MSA 	429024	405027	+5.92% 	Corpus Christi-Kingsville-Alice, TX CSA
128	Brownsville-Harlingen, TX MSA 	423163	406220	+4.17% 	Brownsville-Harlingen-Raymondville, TX CSA
129	Reading, PA MSA 	421164	411442	+2.36% 	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
130	Gulfport-Biloxi, MS MSA 	417665	388488	+7.51%	
131	Manchester-Nashua, NH MSA 	417025	400721	+4.07% 	Boston-Worcester-Providence, MA-RI-NH-CT CSA
132	Salisbury, MD-DE MSA 	415726	373802	+11.22% 	Salisbury-Cambridge, MD-DE CSA
133	Fort Wayne, IN MSA 	413263	388621	+6.34% 	Fort Wayne-Huntington-Auburn, IN CSA
134	Flint, MI MSA 	405813	425790	−4.69% 	Detroit-Warren-Ann Arbor, MI CSA
135	Peoria, IL MSA 	400561	416255	−3.77%	
136	Canton-Massillon, OH MSA 	397520	404422	−1.71% 	Cleveland-Akron-Canton, OH CSA
137	Anchorage, AK MSA 	396317	380821	+4.07%	
138	Shreveport-Bossier City, LA MSA 	394706	398604	−0.98% 	Shreveport-Bossier City-Minden, LA CSA
139	Savannah, GA MSA 	393353	347611	+13.16% 	Savannah-Hinesville-Statesboro, GA CSA
140	Beaumont-Port Arthur, TX MSA 	392563	388745	+0.98%	
141	Tallahassee, FL MSA 	387227	367413	+5.39%	
142	Naples-Marco Island, FL MSA 	384902	321520	+19.71% 	Cape Coral-Fort Myers-Naples, FL CSA
143	Eugene-Springfield, OR MSA 	382067	351715	+8.63%	
144	Davenport-Moline-Rock Island, IA-IL MSA 	379172	379690	−0.14% 	Davenport-Moline, IA-IL CSA
145	Montgomery, AL MSA 	373290	374536	−0.33% 	Montgomery-Selma-Alexander City, AL CSA
146	Hickory-Lenoir-Morganton, NC MSA 	369711	365497	+1.15%	
147	Ann Arbor, MI MSA 	367601	344791	+6.62% 	Detroit-Warren-Ann Arbor, MI CSA
148	Trenton-Princeton, NJ MSA 	367430	366513	+0.25% 	New York-Newark, NY-NJ-CT-PA CSA
149	Ocala, FL MSA 	365579	331298	+10.35%	
150	Fort Collins, CO MSA 	356899	299630	+19.11%	
151	Huntington-Ashland, WV-KY-OH MSA 	355873	370908	−4.05% 	Charleston-Huntington-Ashland, WV-OH-KY CSA
152	Lincoln, NE MSA 	336374	302157	+11.32% 	Lincoln-Beatrice, NE CSA
153	Rockford, IL MSA 	336116	349431	−3.81% 	Rockford-Freeport-Rochelle, IL CSA
154	Gainesville, FL MSA 	329128	305076	+7.88% 	Gainesville-Lake City, FL CSA
155	Boulder, CO MSA 	326196	294567	+10.74% 	Denver-Aurora, CO CSA
156	Greeley, CO MSA 	324492	252825	+28.35% 	Denver-Aurora, CO CSA
157	South Bend-Mishawaka, IN-MI MSA 	323613	319224	+1.37% 	South Bend-Elkhart-Mishawaka, IN-MI CSA
158	Green Bay, WI MSA 	322906	306241	+5.44% 	Green Bay-Shawano, WI CSA
159	Lubbock, TX MSA 	322257	290805	+10.82% 	Lubbock-Plainview-Levelland, TX CSA
160	Columbus, GA-AL MSA 	321048	307788	+4.31% 	Columbus-Auburn-Opelika, GA-AL CSA
161	Spartanburg, SC MSA 	319785	284307	+12.48% 	Greenville-Spartanburg-Anderson, SC CSA
162	Evansville, IN-KY MSA 	315086	311552	+1.13%	
163	Roanoke, VA MSA 	313222	308707	+1.46%	
164	Clarksville, TN-KY MSA 	307820	273949	+12.36%	
165	Kingsport-Bristol, TN-VA MSA 	307202	309544	−0.76% 	Johnson City-Kingsport-Bristol, TN-VA CSA
166	Kennewick-Richland, WA MSA 	299612	253340	+18.26% 	Kennewick-Richland-Walla Walla, WA CSA
167	Wilmington, NC MSA 	297533	254884	+16.73%	
168	Olympia-Lacey-Tumwater, WA MSA 	290536	252264	+15.17% 	Seattle-Tacoma, WA CSA
169	Utica-Rome, NY MSA 	289990	299397	−3.14%	
170	Duluth, MN-WI MSA 	288732	290637	−0.66%	
171	Hagerstown-Martinsburg, MD-WV MSA 	288104	269140	+7.05% 	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
172	Longview, TX MSA 	286657	280000	+2.38%	
173	Crestview-Fort Walton Beach-Destin, FL MSA 	284809	235865	+20.75%	
174	San Luis Obispo-Paso Robles, CA MSA 	283111	269637	+5.00%	
175	Merced, CA MSA 	277680	255793	+8.56% 	San Jose-San Francisco-Oakland, CA CSA
176	Laredo, TX MSA 	276652	250304	+10.53%	
177	Waco, TX MSA 	273920	252772	+8.37%	
178	Santa Cruz-Watsonville, CA MSA 	273213	262382	+4.13% 	San Jose-San Francisco-Oakland, CA CSA
179	Cedar Rapids, IA MSA 	273032	257940	+5.85% 	Cedar Rapids-Iowa City, IA CSA
180	Bremerton-Silverdale-Port Orchard, WA MSA 	271473	251133	+8.10% 	Seattle-Tacoma, WA CSA
181	Erie, PA MSA 	269728	280566	−3.86% 	Erie-Meadville, PA CSA
182	Sioux Falls, SD MSA 	268232	228261	+17.51%	
183	Norwich-New London, CT MSA 	265206	274055	−3.23% 	Hartford-East Hartford, CT CSA
184	Kalamazoo-Portage, MI MSA 	265066	250331	+5.89% 	Kalamazoo-Battle Creek-Portage, MI CSA
185	Amarillo, TX MSA 	265053	251933	+5.21% 	Amarillo-Pampa-Borger, TX CSA
186	College Station-Bryan, TX MSA 	264728	228660	+15.77%	
187	Atlantic City-Hammonton, NJ MSA 	263670	274549	−3.96% 	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
188	Lynchburg, VA MSA 	263566	252634	+4.33%	
189	Charleston, WV MSA 	257074	278009	−7.53% 	Charleston-Huntington-Ashland, WV-OH-KY CSA
190	Tuscaloosa, AL MSA 	252047	239207	+5.37%	
191	Yakima, WA MSA 	250873	243231	+3.14%	
192	Fort Smith, AR-OK MSA 	250368	248208	+0.87%	
193	Fargo, ND-MN MSA 	246145	208777	+17.90% 	Fargo-Wahpeton, ND-MN CSA
194	Binghamton, NY MSA 	238691	251725	−5.18%	
195	Appleton, WI MSA 	237974	225666	+5.45% 	Appleton-Oshkosh-Neenah, WI CSA
196	Prescott Valley-Prescott, AZ MSA 	235099	211033	+11.40%	
197	Lafayette-West Lafayette, IN MSA 	233002	210297	+10.80% 	Lafayette-West Lafayette-Frankfort, IN CSA
198	Tyler, TX MSA 	232751	209714	+10.98% 	Tyler-Jacksonville, TX CSA
199	Topeka, KS MSA 	231969	233870	−0.81%	
200	Macon-Bibb County, GA MSA 	229996	232293	−0.99% 	Macon-Bibb County–Warner Robins, GA CSA
201	Bellingham, WA MSA 	229247	201140	+13.97%	
202	Champaign-Urbana, IL MSA 	226033	217810	+3.78%	
203	Daphne-Fairhope-Foley, AL MSA 	223234	182265	+22.48% 	Mobile-Daphne-Fairhope, AL CSA
204	Hilton Head Island-Bluffton-Beaufort, SC MSA 	222195	187010	+18.81%	
205	Rochester, MN MSA 	221921	206877	+7.27% 	Rochester-Austin, MN CSA
206	Medford, OR MSA 	220944	203206	+8.73% 	Medford-Grants Pass, OR CSA
207	Burlington-South Burlington, VT MSA 	220411	211261	+4.33% 	Burlington-South Burlington-Barre, VT CSA
208	Chico, CA MSA 	219186	220000	−0.37%	
209	Charlottesville, VA MSA 	218615	201559	+8.46%	
210	Las Cruces, NM MSA 	218195	209233	+4.28% 	El Paso-Las Cruces, TX-NM CSA
211	Yuma, AZ MSA 	213787	195751	+9.21%	
212	Athens-Clarke County, GA MSA 	213750	192541	+11.02% 	Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA
213	Barnstable Town, MA MSA 	212990	215888	−1.34% 	Boston-Worcester-Providence, MA-RI-NH-CT CSA
214	Lake Havasu City-Kingman, AZ MSA 	212181	200186	+5.99% 	Las Vegas-Henderson, NV-AZ CSA
215	Lake Charles, LA MSA 	210409	199607	+5.41% 	Lake Charles-Jennings, LA CSA
216	Columbia, MO MSA 	208173	190387	+9.34% 	Columbia-Moberly-Mexico, MO CSA
217	Houma-Thibodaux, LA MSA 	208075	208178	−0.05%	
218	Springfield, IL MSA 	206868	210170	−1.57% 	Springfield-Jacksonville-Lincoln, IL CSA
219	Elkhart-Goshen, IN MSA 	206341	197559	+4.45% 	South Bend-Elkhart-Mishawaka, IN-MI CSA
220	Florence, SC MSA 	204911	205566	−0.32%	
221	Gainesville, GA MSA 	204441	179684	+13.78% 	Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA
222	Johnson City, TN MSA 	203649	198716	+2.48% 	Johnson City-Kingsport-Bristol, TN-VA CSA
223	St. Cloud, MN MSA 	201964	189093	+6.81% 	Minneapolis-St. Paul, MN-WI CSA
224	Monroe, LA MSA 	200261	204420	−2.03% 	Monroe-Ruston, LA CSA
225	Jacksonville, NC MSA 	197938	177772	+11.34%	
226	Bend, OR MSA 	197692	157733	+25.33% 	Bend-Prineville, OR CSA
227	Racine, WI MSA 	196311	195408	+0.46% 	Milwaukee-Racine-Waukesha, WI CSA
228	Saginaw, MI MSA 	190539	200169	−4.81% 	Saginaw-Midland-Bay City, MI CSA
229	Punta Gorda, FL MSA 	188910	159978	+18.08% 	North Port-Sarasota, FL CSA
230	Terre Haute, IN MSA 	186367	189764	−1.79%	
231	Warner Robins, GA MSA 	185409	167595	+10.63% 	Macon-Bibb County–Warner Robins, GA CSA
232	Midland, TX MSA 	182603	141671	+28.89% 	Midland-Odessa, TX CSA
233	Billings, MT MSA 	181667	167167	+8.67%	
234	El Centro, CA MSA 	181215	174528	+3.83%	
235	Dover, DE MSA 	180786	162310	+11.38% 	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
236	Greenville, NC MSA 	180742	168148	+7.49% 	Greenville-Kinston-Washington, NC CSA
237	Redding, CA MSA 	180080	177223	+1.61% 	Redding-Red Bluff, CA CSA
238	Joplin, MO MSA 	179564	175518	+2.31% 	Joplin-Miami, MO-OK CSA
239	Bowling Green, KY MSA 	179240	158599	+13.01% 	Bowling Green-Glasgow, KY CSA
240	Jackson, TN MSA 	178644	179694	−0.58%	
241	Kingston, NY MSA 	177573	182493	−2.70% 	New York-Newark, NY-NJ-CT-PA CSA
242	St. George, UT MSA 	177556	138115	+28.56%	
243	Yuba City, CA MSA 	175639	166892	+5.24% 	Sacramento-Roseville, CA CSA
244	Panama City, FL MSA 	174705	168852	+3.47%	
245	Muskegon, MI MSA 	173566	172188	+0.80% 	Grand Rapids-Kentwood-Muskegon, MI CSA
246	Iowa City, IA MSA 	173105	152586	+13.45% 	Cedar Rapids-Iowa City, IA CSA
247	Abilene, TX MSA 	172060	165252	+4.12%	
248	Oshkosh-Neenah, WI MSA 	171907	166994	+2.94% 	Appleton-Oshkosh-Neenah, WI CSA
249	Bloomington, IL MSA 	171517	169572	+1.15% 	Bloomington-Pontiac, IL CSA
250	East Stroudsburg, PA MSA 	170271	169842	+0.25% 	New York-Newark, NY-NJ-CT-PA CSA
251	Burlington, NC MSA 	169509	151131	+12.16% 	Greensboro–Winston-Salem–High Point, NC CSA
252	Eau Claire, WI MSA 	169304	161151	+5.06% 	Eau Claire-Menomonie, WI CSA
253	Bloomington, IN MSA 	169230	159549	+6.07% 	Bloomington-Bedford, IN CSA
254	Hattiesburg, MS MSA 	168849	162410	+3.96% 	Hattiesburg-Laurel, MS CSA
255	Waterloo-Cedar Falls, IA MSA 	168522	167819	+0.42%	
256	Pueblo, CO MSA 	168424	159063	+5.89% 	Pueblo-Cañon City, CO CSA
257	Blacksburg-Christiansburg, VA MSA 	167531	162958	+2.81%	
258	Kahului-Wailuku-Lahaina, HI MSA 	167417	154834	+8.13%	
259	Odessa, TX MSA 	166223	137130	+21.22% 	Midland-Odessa, TX CSA
260	Coeur d'Alene, ID MSA 	165697	138494	+19.64% 	Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA
261	Auburn-Opelika, AL MSA 	164542	140247	+17.32% 	Columbus-Auburn-Opelika, GA-AL CSA
262	Janesville-Beloit, WI MSA 	163354	160331	+1.89% 	Madison-Janesville-Beloit, WI CSA
263	Wausau-Weston, WI MSA 	163285	162806	+0.29% 	Wausau-Stevens Point-Wisconsin Rapids, WI CSA
264	State College, PA MSA 	162385	153990	+5.45% 	State College-DuBois, PA CSA
265	Sebastian-Vero Beach, FL MSA 	159923	138028	+15.86% 	Miami-Port St. Lucie-Fort Lauderdale, FL CSA
266	Jackson, MI MSA 	158510	160248	−1.08%	
267	Madera, CA MSA 	157327	150865	+4.28% 	Fresno-Madera-Hanford, CA CSA
268	Chambersburg-Waynesboro, PA MSA 	155027	149618	+3.62% 	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
269	Grand Junction, CO MSA 	154210	146723	+5.10%	
270	Elizabethtown-Fort Knox, KY MSA 	153928	148338	+3.77% 	Louisville/Jefferson County–Elizabethtown–Bardstown, KY-IN CSA
271	Niles, MI MSA 	153401	156813	−2.18% 	South Bend-Elkhart-Mishawaka, IN-MI CSA
272	Hanford-Corcoran, CA MSA 	152940	152982	−0.03% 	Fresno-Madera-Hanford, CA CSA
273	Decatur, AL MSA 	152603	153829	−0.80% 	Huntsville-Decatur, AL CSA
274	Bangor, ME MSA 	152148	153923	−1.15%	
275	Alexandria, LA MSA 	152037	153922	−1.22%	
276	Idaho Falls, ID MSA 	151530	133265	+13.71% 	Idaho Falls-Rexburg-Blackfoot, ID CSA
277	Wichita Falls, TX MSA 	151254	151306	−0.03%	
278	Jefferson City, MO MSA 	151235	149807	+0.95%	
279	Monroe, MI MSA 	150500	152021	−1.00% 	Detroit-Warren-Ann Arbor, MI CSA
280	Santa Fe, NM MSA 	150358	144170	+4.29% 	Albuquerque-Santa Fe-Las Vegas, NM CSA
281	Homosassa Springs, FL MSA 	149657	141236	+5.96%	
282	Vineland-Bridgeton, NJ MSA 	149527	156898	−4.70% 	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
283	Dothan, AL MSA 	149358	145639	+2.55% 	Dothan-Ozark, AL CSA
284	Texarkana, TX-AR MSA 	148761	149198	−0.29%	
