NAICS Code,NAICS Description,Total Employment,State
--,Total,119917165.0,United States
11,"Forestry, Fishing, Hunting, and Agriculture Support",165661.0,United States
21,Mining,554333.0,United States
22,Utilities,614427.0,United States
23,Construction,7338799.0,United States
31-33,Manufacturing,13631683.0,United States
42,Wholesale Trade,6030647.0,United States
44-45,Retail Trade,15767866.0,United States
48-49,Transportation and Warehousing,4306405.0,United States
51,Information,3396246.0,United States
52,Finance and Insurance,6647098.0,United States
53,Real Estate and Rental and Leasing,2216803.0,United States
54,"Professional, Scientific, and Technical Services",8054094.0,United States
55,Management of Companies and Enterprises,2915644.0,United States
56,Administrative and Support and Waste Management and Remediation Services,10003626.0,United States
61,Educational Services,2979514.0,United States
62,Health Care and Social Assistance,16451361.0,United States
71,"Arts, Entertainment, and Recreation",1973655.0,United States
72,Accommodation and Food Services,11381226.0,United States
81,Other Services (except Public Administration),5458558.0,United States
99,Unclassified,29519.0,United States
--,Total,1713399,Alabama
11,"Forestry, Fishing, Hunting, and Agriculture Support",6730,Alabama
21,Mining,7975,Alabama
22,Utilities,14440,Alabama
23,Construction,111115,Alabama
31-33,Manufacturing,291239,Alabama
42,Wholesale Trade,79498,Alabama
44-45,Retail Trade,247237,Alabama
48-49,Transportation and Warehousing,59189,Alabama
51,Information,39400,Alabama
52,Finance and Insurance,70709,Alabama
53,Real Estate and Rental and Leasing,25082,Alabama
54,"Professional, Scientific, and Technical Services",97540,Alabama
55,Management of Companies and Enterprises,19128,Alabama
56,Administrative and Support and Waste Management and Remediation Services,128781,Alabama
61,Educational Services,26935,Alabama
62,Health Care and Social Assistance,233220,Alabama
71,"Arts, Entertainment, and Recreation",17252,Alabama
72,Accommodation and Food Services,152471,Alabama
81,Other Services (except Public Administration),85151,Alabama
99,Unclassified,307,Alabama
--,Total,241621,Alaska
11,"Forestry, Fishing, Hunting, and Agriculture Support",980,Alaska
21,Mining,7583,Alaska
22,Utilities,1790,Alaska
23,Construction,20770,Alaska
31-33,Manufacturing,10221,Alaska
42,Wholesale Trade,8587,Alaska
44-45,Retail Trade,35344,Alaska
48-49,Transportation and Warehousing,18999,Alaska
51,Information,7308,Alaska
52,Finance and Insurance,7759,Alaska
53,Real Estate and Rental and Leasing,4667,Alaska
54,"Professional, Scientific, and Technical Services",14099,Alaska
55,Management of Companies and Enterprises,3436,Alaska
56,Administrative and Support and Waste Management and Remediation Services,18828,Alaska
61,Educational Services,2626,Alaska
62,Health Care and Social Assistance,39455,Alaska
71,"Arts, Entertainment, and Recreation",4325,Alaska
72,Accommodation and Food Services,24236,Alaska
81,Other Services (except Public Administration),10536,Alaska
99,Unclassified,72,Alaska
--,Total,2335098,Arizona
11,"Forestry, Fishing, Hunting, and Agriculture Support",1354,Arizona
21,Mining,10030,Arizona
22,Utilities,10373,Arizona
23,Construction,249417,Arizona
31-33,Manufacturing,179122,Arizona
42,Wholesale Trade,97006,Arizona
44-45,Retail Trade,331427,Arizona
48-49,Transportation and Warehousing,78135,Arizona
51,Information,53780,Arizona
52,Finance and Insurance,143883,Arizona
53,Real Estate and Rental and Leasing,51126,Arizona
54,"Professional, Scientific, and Technical Services",134051,Arizona
55,Management of Companies and Enterprises,56947,Arizona
56,Administrative and Support and Waste Management and Remediation Services,240054,Arizona
61,Educational Services,43977,Arizona
62,Health Care and Social Assistance,265751,Arizona
71,"Arts, Entertainment, and Recreation",46832,Arizona
72,Accommodation and Food Services,254041,Arizona
81,Other Services (except Public Administration),87230,Arizona
99,Unclassified,562,Arizona
--,Total,1041998,Arkansas
11,"Forestry, Fishing, Hunting, and Agriculture Support",5525,Arkansas
21,Mining,5017,Arkansas
22,Utilities,7095,Arkansas
23,Construction,53920,Arkansas
31-33,Manufacturing,200622,Arkansas
42,Wholesale Trade,48821,Arkansas
44-45,Retail Trade,145047,Arkansas
48-49,Transportation and Warehousing,62967,Arkansas
51,Information,23592,Arkansas
52,Finance and Insurance,37851,Arkansas
53,Real Estate and Rental and Leasing,14266,Arkansas
54,"Professional, Scientific, and Technical Services",38186,Arkansas
55,Management of Companies and Enterprises,29796,Arkansas
56,Administrative and Support and Waste Management and Remediation Services,52561,Arkansas
61,Educational Services,12921,Arkansas
62,Health Care and Social Assistance,159017,Arkansas
71,"Arts, Entertainment, and Recreation",9201,Arkansas
72,Accommodation and Food Services,90235,Arkansas
81,Other Services (except Public Administration),45151,Arkansas
99,Unclassified,207,Arkansas
--,Total,13834264,California
11,"Forestry, Fishing, Hunting, and Agriculture Support",23820,California
21,Mining,21285,California
22,Utilities,59815,California
23,Construction,958436,California
31-33,Manufacturing,1449769,California
42,Wholesale Trade,825742,California
44-45,Retail Trade,1700802,California
48-49,Transportation and Warehousing,453208,California
51,Information,525756,California
52,Finance and Insurance,733723,California
53,Real Estate and Rental and Leasing,327928,California
54,"Professional, Scientific, and Technical Services",1224939,California
55,Management of Companies and Enterprises,292497,California
56,Administrative and Support and Waste Management and Remediation Services,1153010,California
61,Educational Services,317408,California
62,Health Care and Social Assistance,1556748,California
71,"Arts, Entertainment, and Recreation",302529,California
72,Accommodation and Food Services,1321880,California
81,Other Services (except Public Administration),581428,California
99,Unclassified,3541,California
--,Total,2019125,Colorado
11,"Forestry, Fishing, Hunting, and Agriculture Support",1306,Colorado
21,Mining,19597,Colorado
22,Utilities,8017,Colorado
23,Construction,167527,Colorado
31-33,Manufacturing,134598,Colorado
42,Wholesale Trade,100022,Colorado
44-45,Retail Trade,256958,Colorado
48-49,Transportation and Warehousing,61166,Colorado
51,Information,79967,Colorado
