NAICS Code,NAICS Description,Total Employment,State
--,Total,6974591.0,United States
11,"Forestry, Fishing, Hunting, and Agriculture Support",24563.0,United States
21,Mining,21314.0,United States
22,Utilities,6546.0,United States
23,Construction,863261.0,United States
31-33,Manufacturing,358110.0,United States
42,Wholesale Trade,377841.0,United States
44-45,Retail Trade,968461.0,United States
48-49,Transportation and Warehousing,160813.0,United States
51,Information,74408.0,United States
52,Finance and Insurance,241100.0,United States
53,Real Estate and Rental and Leasing,223658.0,United States
54,"Professional, Scientific, and Technical Services",694453.0,United States
55,Management of Companies and Enterprises,3885.0,United States
56,Administrative and Support and Waste Management and Remediation Services,322091.0,United States
61,Educational Services,79188.0,United States
62,Health Care and Social Assistance,937408.0,United States
71,"Arts, Entertainment, and Recreation",108449.0,United States
72,Accommodation and Food Services,616729.0,United States
81,Other Services (except Public Administration),890332.0,United States
99,Unclassified,1981.0,United States
--,Total,100581.0,Alabama
11,"Forestry, Fishing, Hunting, and Agriculture Support",1780.0,Alabama
21,Mining,122.0,Alabama
22,Utilities,195.0,Alabama
23,Construction,12838.0,Alabama
31-33,Manufacturing,4770.0,Alabama
42,Wholesale Trade,4792.0,Alabama
44-45,Retail Trade,16898.0,Alabama
48-49,Transportation and Warehousing,2387.0,Alabama
51,Information,888.0,Alabama
52,Finance and Insurance,2776.0,Alabama
53,Real Estate and Rental and Leasing,2542.0,Alabama
54,"Professional, Scientific, and Technical Services",8732.0,Alabama
55,Management of Companies and Enterprises,0.0,Alabama
56,Administrative and Support and Waste Management and Remediation Services,4247.0,Alabama
61,Educational Services,874.0,Alabama
62,Health Care and Social Assistance,13894.0,Alabama
71,"Arts, Entertainment, and Recreation",1243.0,Alabama
72,Accommodation and Food Services,6545.0,Alabama
81,Other Services (except Public Administration),14963.0,Alabama
99,Unclassified,0.0,Alabama
--,Total,18779.0,Alaska
11,"Forestry, Fishing, Hunting, and Agriculture Support",35.0,Alaska
21,Mining,40.0,Alaska
22,Utilities,56.0,Alaska
23,Construction,2505.0,Alaska
31-33,Manufacturing,502.0,Alaska
42,Wholesale Trade,496.0,Alaska
44-45,Retail Trade,2696.0,Alaska
48-49,Transportation and Warehousing,690.0,Alaska
51,Information,222.0,Alaska
52,Finance and Insurance,398.0,Alaska
53,Real Estate and Rental and Leasing,667.0,Alaska
54,"Professional, Scientific, and Technical Services",1511.0,Alaska
55,Management of Companies and Enterprises,0.0,Alaska
56,Administrative and Support and Waste Management and Remediation Services,1016.0,Alaska
61,Educational Services,234.0,Alaska
62,Health Care and Social Assistance,2705.0,Alaska
71,"Arts, Entertainment, and Recreation",390.0,Alaska
72,Accommodation and Food Services,2247.0,Alaska
81,Other Services (except Public Administration),2361.0,Alaska
--,Total,120860.0,Arizona
11,"Forestry, Fishing, Hunting, and Agriculture Support",207.0,Arizona
21,Mining,145.0,Arizona
22,Utilities,144.0,Arizona
23,Construction,19099.0,Arizona
31-33,Manufacturing,5433.0,Arizona
42,Wholesale Trade,5336.0,Arizona
44-45,Retail Trade,15056.0,Arizona
48-49,Transportation and Warehousing,2619.0,Arizona
51,Information,1247.0,Arizona
52,Finance and Insurance,4398.0,Arizona
53,Real Estate and Rental and Leasing,4422.0,Arizona
54,"Professional, Scientific, and Technical Services",12193.0,Arizona
55,Management of Companies and Enterprises,41.0,Arizona
56,Administrative and Support and Waste Management and Remediation Services,7457.0,Arizona
61,Educational Services,1530.0,Arizona
62,Health Care and Social Assistance,17231.0,Arizona
71,"Arts, Entertainment, and Recreation",1449.0,Arizona
72,Accommodation and Food Services,10070.0,Arizona
