FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
40.0,"Abilene, TX",--,TOTAL OVER ALL INDUSTRIES,47126
40.0,"Abilene, TX",07,"AG. SERVICES, FORESTRY, FISHING",262
40.0,"Abilene, TX",10,MINING,[g]
40.0,"Abilene, TX",15,CONSTRUCTION,2570
40.0,"Abilene, TX",20,MANUFACTURING,3339
40.0,"Abilene, TX",40,"TRANSPORTATION, COMM., UTILITIES",2202
40.0,"Abilene, TX",50,WHOLESALE,2326
40.0,"Abilene, TX",52,RETAIL,12054
40.0,"Abilene, TX",60,"FINANCE, INSURANCE, REAL ESTATE",2445
40.0,"Abilene, TX",70,SERVICES,20261
40.0,"Abilene, TX",99,NONCLASSIFIABLE ESTABLISHMENTS,[a]
80.0,"Akron, OH",--,TOTAL OVER ALL INDUSTRIES,283295
80.0,"Akron, OH",07,"AG. SERVICES, FORESTRY, FISHING",[g]
80.0,"Akron, OH",10,MINING,[e]
80.0,"Akron, OH",15,CONSTRUCTION,12840
80.0,"Akron, OH",20,MANUFACTURING,66928
80.0,"Akron, OH",40,"TRANSPORTATION, COMM., UTILITIES",13965
80.0,"Akron, OH",50,WHOLESALE,20345
80.0,"Akron, OH",52,RETAIL,63854
80.0,"Akron, OH",60,"FINANCE, INSURANCE, REAL ESTATE",13502
80.0,"Akron, OH",70,SERVICES,89732
80.0,"Akron, OH",99,NONCLASSIFIABLE ESTABLISHMENTS,[a]
120.0,"Albany, GA",--,TOTAL OVER ALL INDUSTRIES,47047
120.0,"Albany, GA",07,"AG. SERVICES, FORESTRY, FISHING",518
120.0,"Albany, GA",10,MINING,[b]
120.0,"Albany, GA",15,CONSTRUCTION,3500
120.0,"Albany, GA",20,MANUFACTURING,9199
120.0,"Albany, GA",40,"TRANSPORTATION, COMM., UTILITIES",2774
120.0,"Albany, GA",50,WHOLESALE,2971
120.0,"Albany, GA",52,RETAIL,10814
120.0,"Albany, GA",60,"FINANCE, INSURANCE, REAL ESTATE",1909
120.0,"Albany, GA",70,SERVICES,15338
120.0,"Albany, GA",99,NONCLASSIFIABLE ESTABLISHMENTS,[a]
160.0,"Albany--Schenectady--Troy, NY",--,TOTAL OVER ALL INDUSTRIES,319829
160.0,"Albany--Schenectady--Troy, NY",07,"AG. SERVICES, FORESTRY, FISHING",1325
160.0,"Albany--Schenectady--Troy, NY",10,MINING,230
160.0,"Albany--Schenectady--Troy, NY",15,CONSTRUCTION,13100
160.0,"Albany--Schenectady--Troy, NY",20,MANUFACTURING,37839
160.0,"Albany--Schenectady--Troy, NY",40,"TRANSPORTATION, COMM., UTILITIES",14599
160.0,"Albany--Schenectady--Troy, NY",50,WHOLESALE,17215
160.0,"Albany--Schenectady--Troy, NY",52,RETAIL,71475
160.0,"Albany--Schenectady--Troy, NY",60,"FINANCE, INSURANCE, REAL ESTATE",26558
160.0,"Albany--Schenectady--Troy, NY",70,SERVICES,137435
160.0,"Albany--Schenectady--Troy, NY",99,NONCLASSIFIABLE ESTABLISHMENTS,53
200.0,"Albuquerque, NM",--,TOTAL OVER ALL INDUSTRIES,275700
200.0,"Albuquerque, NM",07,"AG. SERVICES, FORESTRY, FISHING",[g]
200.0,"Albuquerque, NM",10,MINING,[f]
200.0,"Albuquerque, NM",15,CONSTRUCTION,22180
200.0,"Albuquerque, NM",20,MANUFACTURING,28861
200.0,"Albuquerque, NM",40,"TRANSPORTATION, COMM., UTILITIES",14264
200.0,"Albuquerque, NM",50,WHOLESALE,16414
200.0,"Albuquerque, NM",52,RETAIL,61980
200.0,"Albuquerque, NM",60,"FINANCE, INSURANCE, REAL ESTATE",17662
200.0,"Albuquerque, NM",70,SERVICES,111119
200.0,"Albuquerque, NM",99,NONCLASSIFIABLE ESTABLISHMENTS,[c]
220.0,"Alexandria, LA",--,TOTAL OVER ALL INDUSTRIES,43845
220.0,"Alexandria, LA",07,"AG. SERVICES, FORESTRY, FISHING",[e]
220.0,"Alexandria, LA",10,MINING,[b]
220.0,"Alexandria, LA",15,CONSTRUCTION,3049
220.0,"Alexandria, LA",20,MANUFACTURING,3663
220.0,"Alexandria, LA",40,"TRANSPORTATION, COMM., UTILITIES",2368
220.0,"Alexandria, LA",50,WHOLESALE,2291
220.0,"Alexandria, LA",52,RETAIL,10040
220.0,"Alexandria, LA",60,"FINANCE, INSURANCE, REAL ESTATE",1987
220.0,"Alexandria, LA",70,SERVICES,20041
220.0,"Alexandria, LA",99,NONCLASSIFIABLE ESTABLISHMENTS,[a]
240.0,"Allentown--Bethlehem--Easton, PA",--,TOTAL OVER ALL INDUSTRIES,244872
240.0,"Allentown--Bethlehem--Easton, PA",07,"AG. SERVICES, FORESTRY, FISHING",1239
240.0,"Allentown--Bethlehem--Easton, PA",10,MINING,211
240.0,"Allentown--Bethlehem--Easton, PA",15,CONSTRUCTION,9474
240.0,"Allentown--Bethlehem--Easton, PA",20,MANUFACTURING,58687
240.0,"Allentown--Bethlehem--Easton, PA",40,"TRANSPORTATION, COMM., UTILITIES",14531
240.0,"Allentown--Bethlehem--Easton, PA",50,WHOLESALE,13678
240.0,"Allentown--Bethlehem--Easton, PA",52,RETAIL,48138
240.0,"Allentown--Bethlehem--Easton, PA",60,"FINANCE, INSURANCE, REAL ESTATE",14228
240.0,"Allentown--Bethlehem--Easton, PA",70,SERVICES,84653
240.0,"Allentown--Bethlehem--Easton, PA",99,NONCLASSIFIABLE ESTABLISHMENTS,33
280.0,"Altoona, PA",--,TOTAL OVER ALL INDUSTRIES,48590
280.0,"Altoona, PA",07,"AG. SERVICES, FORESTRY, FISHING",[c]
280.0,"Altoona, PA",10,MINING,[c]
280.0,"Altoona, PA",15,CONSTRUCTION,[g]
280.0,"Altoona, PA",20,MANUFACTURING,9541
280.0,"Altoona, PA",40,"TRANSPORTATION, COMM., UTILITIES",2642
280.0,"Altoona, PA",50,WHOLESALE,3578
280.0,"Altoona, PA",52,RETAIL,11900
280.0,"Altoona, PA",60,"FINANCE, INSURANCE, REAL ESTATE",2072
280.0,"Altoona, PA",70,SERVICES,16257
280.0,"Altoona, PA",99,NONCLASSIFIABLE ESTABLISHMENTS,[a]
320.0,"Amarillo, TX",--,TOTAL OVER ALL INDUSTRIES,76639
320.0,"Amarillo, TX",07,"AG. SERVICES, FORESTRY, FISHING",561
320.0,"Amarillo, TX",10,MINING,340
320.0,"Amarillo, TX",15,CONSTRUCTION,4937
320.0,"Amarillo, TX",20,MANUFACTURING,11554
320.0,"Amarillo, TX",40,"TRANSPORTATION, COMM., UTILITIES",4334
320.0,"Amarillo, TX",50,WHOLESALE,5950
320.0,"Amarillo, TX",52,RETAIL,19433
320.0,"Amarillo, TX",60,"FINANCE, INSURANCE, REAL ESTATE",4127
320.0,"Amarillo, TX",70,SERVICES,25402
320.0,"Amarillo, TX",99,NONCLASSIFIABLE ESTABLISHMENTS,1
380.0,"Anchorage, AK",--,TOTAL OVER ALL INDUSTRIES,102424
380.0,"Anchorage, AK",07,"AG. SERVICES, FORESTRY, FISHING",[f]
380.0,"Anchorage, AK",10,MINING,6435
380.0,"Anchorage, AK",15,CONSTRUCTION,6227
380.0,"Anchorage, AK",20,MANUFACTURING,2407
380.0,"Anchorage, AK",40,"TRANSPORTATION, COMM., UTILITIES",13131
380.0,"Anchorage, AK",50,WHOLESALE,5895
380.0,"Anchorage, AK",52,RETAIL,23259
380.0,"Anchorage, AK",60,"FINANCE, INSURANCE, REAL ESTATE",6571
380.0,"Anchorage, AK",70,SERVICES,37959
380.0,"Anchorage, AK",99,NONCLASSIFIABLE ESTABLISHMENTS,[b]
440.0,"Ann Arbor, MI",--,TOTAL OVER ALL INDUSTRIES,215219
440.0,"Ann Arbor, MI",07,"AG. SERVICES, FORESTRY, FISHING",1642
440.0,"Ann Arbor, MI",10,MINING,[b]
440.0,"Ann Arbor, MI",15,CONSTRUCTION,9904
440.0,"Ann Arbor, MI",20,MANUFACTURING,54754
440.0,"Ann Arbor, MI",40,"TRANSPORTATION, COMM., UTILITIES",7475
440.0,"Ann Arbor, MI",50,WHOLESALE,8772
440.0,"Ann Arbor, MI",52,RETAIL,47197
440.0,"Ann Arbor, MI",60,"FINANCE, INSURANCE, REAL ESTATE",9116
440.0,"Ann Arbor, MI",70,SERVICES,76197
