FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
40.0,"Abilene, TX",--,Total,49969
40.0,"Abilene, TX",11,"Agriculture, forestry, fishing, & hunting",14
40.0,"Abilene, TX",21,Mining,834
40.0,"Abilene, TX",22,Utilities,395
40.0,"Abilene, TX",23,Construction,3002
40.0,"Abilene, TX",31-33,Manufacturing,3177
40.0,"Abilene, TX",42,Wholesale trade,1859
40.0,"Abilene, TX",44-45,Retail Trade,7633
40.0,"Abilene, TX",48-49,Transportation & Warehousing,1154
40.0,"Abilene, TX",51,Information,1228
40.0,"Abilene, TX",52,Finance & insurance,2648
40.0,"Abilene, TX",53,Real estate & rental & leasing,879
40.0,"Abilene, TX",54,"Professional, scientific, & technical services",1353
40.0,"Abilene, TX",55,Management of companies & enterprises,294
40.0,"Abilene, TX",56,Administrative & support & waste management & remediation serv,3652
40.0,"Abilene, TX",61,Educational services,2488
40.0,"Abilene, TX",62,Health care & social assistance,9756
40.0,"Abilene, TX",71,"Arts, entertainment, & recreation",706
40.0,"Abilene, TX",72,Accommodation & foodservices,5545
40.0,"Abilene, TX",81,Other services (except public administration),3261
40.0,"Abilene, TX",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",76
40.0,"Abilene, TX",99,Unclassified,15
80.0,"Akron, OH",--,Total,289151
80.0,"Akron, OH",11,"Agriculture, forestry, fishing, & hunting",[a]
80.0,"Akron, OH",21,Mining,[e]
80.0,"Akron, OH",22,Utilities,[h]
80.0,"Akron, OH",23,Construction,13648
80.0,"Akron, OH",31-33,Manufacturing,46263
80.0,"Akron, OH",42,Wholesale trade,15232
80.0,"Akron, OH",44-45,Retail Trade,40024
80.0,"Akron, OH",48-49,Transportation & Warehousing,7726
80.0,"Akron, OH",51,Information,5391
80.0,"Akron, OH",52,Finance & insurance,12104
80.0,"Akron, OH",53,Real estate & rental & leasing,4144
80.0,"Akron, OH",54,"Professional, scientific, & technical services",12980
80.0,"Akron, OH",55,Management of companies & enterprises,16564
80.0,"Akron, OH",56,Administrative & support & waste management & remediation serv,18040
80.0,"Akron, OH",61,Educational services,4301
80.0,"Akron, OH",62,Health care & social assistance,39528
80.0,"Akron, OH",71,"Arts, entertainment, & recreation",4073
80.0,"Akron, OH",72,Accommodation & foodservices,26247
80.0,"Akron, OH",81,Other services (except public administration),14913
80.0,"Akron, OH",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",4150
80.0,"Akron, OH",99,Unclassified,[b]
120.0,"Albany, GA",--,Total,45834
120.0,"Albany, GA",11,"Agriculture, forestry, fishing, & hunting",334
120.0,"Albany, GA",21,Mining,[b]
120.0,"Albany, GA",22,Utilities,[e]
120.0,"Albany, GA",23,Construction,2519
120.0,"Albany, GA",31-33,Manufacturing,7522
120.0,"Albany, GA",42,Wholesale trade,2132
120.0,"Albany, GA",44-45,Retail Trade,7591
120.0,"Albany, GA",48-49,Transportation & Warehousing,1338
120.0,"Albany, GA",51,Information,[f]
120.0,"Albany, GA",52,Finance & insurance,1306
120.0,"Albany, GA",53,Real estate & rental & leasing,615
120.0,"Albany, GA",54,"Professional, scientific, & technical services",1416
120.0,"Albany, GA",55,Management of companies & enterprises,359
