NAICS Code,NAICS Description,Total Employment,State
--,Total,115074924.0,United States
11,"Forestry, Fishing, Hunting, and Agriculture Support",182121.0,United States
21,Mining,470280.0,United States
22,Utilities,634734.0,United States
23,Construction,6647641.0,United States
31-33,Manufacturing,13821976.0,United States
42,Wholesale trade,5907051.0,United States
44-45,Retail Trade,15351431.0,United States
48-49,Transportation & Warehousing,4098870.0,United States
51,Information,3472427.0,United States
52,Finance & insurance,6481304.0,United States
53,Real Estate and Rental and Leasing,2086085.0,United States
54,"Professional, Scientific, and Technical Services",7569981.0,United States
55,Management of Companies and Enterprises,2824787.0,United States
56,Administrative and Support and Waste Management and Remediation Services,8708052.0,United States
61,Educational Services,2893346.0,United States
62,Health Care and Social Assistance,15814812.0,United States
71,"Arts, Entertainment, and Recreation",1889044.0,United States
72,Accommodation and Food Services,10749811.0,United States
81,Other Services (except Public Administration),5416193.0,United States
99,Unclassified,54978.0,United States
--,Total,1629141,Alabama
11,"Forestry, Fishing, Hunting, and Agriculture Support",7621,Alabama
21,Mining,6670,Alabama
22,Utilities,14860,Alabama
23,Construction,104672,Alabama
31-33,Manufacturing,273967,Alabama
42,Wholesale Trade,76123,Alabama
44-45,Retail Trade,237633,Alabama
48-49,Transportation and Warehousing,55695,Alabama
51,Information,41980,Alabama
52,Finance and Insurance,75700,Alabama
53,Real Estate and Rental and Leasing,23923,Alabama
54,"Professional, Scientific, and Technical Services",91498,Alabama
55,Management of Companies and Enterprises,18417,Alabama
56,Administrative and Support and Waste Management and Remediation Services,107523,Alabama
61,Educational Services,25769,Alabama
62,Health Care and Social Assistance,226910,Alabama
71,"Arts, Entertainment, and Recreation",15117,Alabama
72,Accommodation and Food Services,141442,Alabama
81,Other Services (except Public Administration),82869,Alabama
99,Unclassified,752,Alabama
--,Total,223153,Alaska
11,"Forestry, Fishing, Hunting, and Agriculture Support",1038,Alaska
21,Mining,7058,Alaska
22,Utilities,1758,Alaska
23,Construction,17599,Alaska
31-33,Manufacturing,10081,Alaska
42,Wholesale Trade,8167,Alaska
44-45,Retail Trade,34274,Alaska
48-49,Transportation and Warehousing,17473,Alaska
51,Information,7200,Alaska
52,Finance and Insurance,7616,Alaska
53,Real Estate and Rental and Leasing,4639,Alaska
54,"Professional, Scientific, and Technical Services",11867,Alaska
55,Management of Companies and Enterprises,2880,Alaska
56,Administrative and Support and Waste Management and Remediation Services,12877,Alaska
61,Educational Services,2848,Alaska
62,Health Care and Social Assistance,38242,Alaska
71,"Arts, Entertainment, and Recreation",3931,Alaska
72,Accommodation and Food Services,23382,Alaska
81,Other Services (except Public Administration),10124,Alaska
99,Unclassified,99,Alaska
--,Total,2044134,Arizona
11,"Forestry, Fishing, Hunting, and Agriculture Support",1832,Arizona
21,Mining,8037,Arizona
22,Utilities,10452,Arizona
23,Construction,184901,Arizona
31-33,Manufacturing,167481,Arizona
42,Wholesale Trade,91852,Arizona
