NAICS Code,NAICS Description,Total Employment,State
--,Total,6086291,United States
11,"Agriculture, forestry, fishing and hunting",23027,United States
21,"Mining, quarrying, and oil and gas extraction",19343,United States
22,Utilities,5922,United States
23,Construction,809923,United States
31-33,Manufacturing,212292,United States
42,Wholesale trade,319708,United States
44-45,Retail trade,765158,United States
48-49,Transportation and warehousing,165971,United States
51,Information,63855,United States
52,Finance and insurance,315657,United States
53,Real estate and rental and leasing,332884,United States
54,"Professional, scientific, and technical services",850269,United States
55,Management of companies and enterprises,4365,United States
56,Administrative and support and waste management and remediation services,322271,United States
61,Educational services,60158,United States
62,Health care and social assistance,586486,United States
71,"Arts, entertainment, and recreation",95896,United States
72,Accommodation and food services,330839,United States
81,Other services (except public administration),791860,United States
99,Industries not classified,0,United States
--,Total,80104,Alabama
11,"Agriculture, forestry, fishing and hunting",867,Alabama
21,"Mining, quarrying, and oil and gas extraction",103,Alabama
22,Utilities,62,Alabama
23,Construction,10176,Alabama
31-33,Manufacturing,2932,Alabama
42,Wholesale trade,3523,Alabama
44-45,Retail trade,13021,Alabama
48-49,Transportation and warehousing,2655,Alabama
51,Information,564,Alabama
52,Finance and insurance,4262,Alabama
53,Real estate and rental and leasing,4081,Alabama
54,"Professional, scientific, and technical services",9787,Alabama
55,Management of companies and enterprises,25,Alabama
56,Administrative and support and waste management and remediation services,3455,Alabama
61,Educational services,583,Alabama
62,Health care and social assistance,6704,Alabama
71,"Arts, entertainment, and recreation",969,Alabama
72,Accommodation and food services,3670,Alabama
81,Other services (except public administration),12571,Alabama
99,Industries not classified,94,Alabama
--,Total,15238,Alaska
11,"Agriculture, forestry, fishing and hunting",0,Alaska
21,"Mining, quarrying, and oil and gas extraction",63,Alaska
22,Utilities,40,Alaska
23,Construction,2489,Alaska
31-33,Manufacturing,388,Alaska
42,Wholesale trade,340,Alaska
44-45,Retail trade,1729,Alaska
48-49,Transportation and warehousing,581,Alaska
51,Information,170,Alaska
52,Finance and insurance,419,Alaska
53,Real estate and rental and leasing,861,Alaska
54,"Professional, scientific, and technical services",1725,Alaska
55,Management of companies and enterprises,0,Alaska
56,Administrative and support and waste management and remediation services,777,Alaska
61,Educational services,181,Alaska
62,Health care and social assistance,1718,Alaska
71,"Arts, entertainment, and recreation",363,Alaska
72,Accommodation and food services,1200,Alaska
81,Other services (except public administration),1975,Alaska
99,Industries not classified,0,Alaska
--,Total,104115,Arizona
11,"Agriculture, forestry, fishing and hunting",197,Arizona
21,"Mining, quarrying, and oil and gas extraction",0,Arizona
22,Utilities,0,Arizona
23,Construction,15077,Arizona
31-33,Manufacturing,3352,Arizona
42,Wholesale trade,4840,Arizona
44-45,Retail trade,11089,Arizona
48-49,Transportation and warehousing,2253,Arizona
51,Information,979,Arizona
52,Finance and insurance,6435,Arizona
53,Real estate and rental and leasing,6905,Arizona
54,"Professional, scientific, and technical services",16056,Arizona
55,Management of companies and enterprises,0,Arizona
56,Administrative and support and waste management and remediation services,6768,Arizona
61,Educational services,1176,Arizona
62,Health care and social assistance,11861,Arizona
71,"Arts, entertainment, and recreation",1277,Arizona
72,Accommodation and food services,4505,Arizona
81,Other services (except public administration),10863,Arizona
99,Industries not classified,0,Arizona
--,Total,51807,Arkansas
11,"Agriculture, forestry, fishing and hunting",755,Arkansas
21,"Mining, quarrying, and oil and gas extraction",227,Arkansas
22,Utilities,201,Arkansas
23,Construction,6310,Arkansas
31-33,Manufacturing,1791,Arkansas
42,Wholesale trade,2061,Arkansas
44-45,Retail trade,7738,Arkansas
48-49,Transportation and warehousing,2055,Arkansas
51,Information,387,Arkansas
52,Finance and insurance,3066,Arkansas
53,Real estate and rental and leasing,3039,Arkansas
54,"Professional, scientific, and technical services",5998,Arkansas
55,Management of companies and enterprises,0,Arkansas
56,Administrative and support and waste management and remediation services,2151,Arkansas
61,Educational services,396,Arkansas
62,Health care and social assistance,4939,Arkansas
71,"Arts, entertainment, and recreation",776,Arkansas
72,Accommodation and food services,2213,Arkansas
81,Other services (except public administration),7625,Arkansas
99,Industries not classified,0,Arkansas
--,Total,723010,California
11,"Agriculture, forestry, fishing and hunting",1817,California
21,"Mining, quarrying, and oil and gas extraction",518,California
22,Utilities,538,California
23,Construction,76127,California
31-33,Manufacturing,29820,California
42,Wholesale trade,51369,California
44-45,Retail trade,80139,California
48-49,Transportation and warehousing,15356,California
51,Information,11537,California
52,Finance and insurance,35742,California
53,Real estate and rental and leasing,44465,California
54,"Professional, scientific, and technical services",113127,California
55,Management of companies and enterprises,355,California
56,Administrative and support and waste management and remediation services,36411,California
61,Educational services,7639,California
62,Health care and social assistance,88926,California
71,"Arts, entertainment, and recreation",14483,California
72,Accommodation and food services,39667,California
81,Other services (except public administration),73670,California
99,Industries not classified,0,California
--,Total,127672,Colorado
11,"Agriculture, forestry, fishing and hunting",281,Colorado
21,"Mining, quarrying, and oil and gas extraction",993,Colorado
22,Utilities,198,Colorado
23,Construction,20248,Colorado
31-33,Manufacturing,4000,Colorado
42,Wholesale trade,5187,Colorado
44-45,Retail trade,12945,Colorado
48-49,Transportation and warehousing,2691,Colorado
51,Information,1638,Colorado
52,Finance and insurance,7767,Colorado
53,Real estate and rental and leasing,0,Colorado
54,"Professional, scientific, and technical services",22817,Colorado
55,Management of companies and enterprises,0,Colorado
56,Administrative and support and waste management and remediation services,6662,Colorado
61,Educational services,1695,Colorado
62,Health care and social assistance,10865,Colorado
71,"Arts, entertainment, and recreation",1872,Colorado
72,Accommodation and food services,5368,Colorado
81,Other services (except public administration),13254,Colorado
99,Industries not classified,109,Colorado
--,Total,74798,Connecticut
11,"Agriculture, forestry, fishing and hunting",106,Connecticut
21,"Mining, quarrying, and oil and gas extraction",43,Connecticut
22,Utilities,25,Connecticut
23,Construction,10387,Connecticut
31-33,Manufacturing,3320,Connecticut
42,Wholesale trade,3346,Connecticut
44-45,Retail trade,9921,Connecticut
48-49,Transportation and warehousing,1028,Connecticut
51,Information,739,Connecticut
52,Finance and insurance,3955,Connecticut
53,Real estate and rental and leasing,3147,Connecticut
54,"Professional, scientific, and technical services",9900,Connecticut
55,Management of companies and enterprises,48,Connecticut
56,Administrative and support and waste management and remediation services,4516,Connecticut
61,Educational services,882,Connecticut
62,Health care and social assistance,6598,Connecticut
71,"Arts, entertainment, and recreation",1239,Connecticut
72,Accommodation and food services,5041,Connecticut
81,Other services (except public administration),10436,Connecticut
99,Industries not classified,0,Connecticut
--,Total,18098,Delaware
11,"Agriculture, forestry, fishing and hunting",51,Delaware
21,"Mining, quarrying, and oil and gas extraction",0,Delaware
22,Utilities,0,Delaware
23,Construction,2738,Delaware
31-33,Manufacturing,392,Delaware
42,Wholesale trade,686,Delaware
44-45,Retail trade,2560,Delaware
48-49,Transportation and warehousing,548,Delaware
51,Information,125,Delaware
52,Finance and insurance,1057,Delaware
53,Real estate and rental and leasing,914,Delaware
54,"Professional, scientific, and technical services",2146,Delaware
55,Management of companies and enterprises,0,Delaware
56,Administrative and support and waste management and remediation services,1133,Delaware
61,Educational services,162,Delaware
62,Health care and social assistance,1407,Delaware
71,"Arts, entertainment, and recreation",259,Delaware
72,Accommodation and food services,931,Delaware
81,Other services (except public administration),2261,Delaware
99,Industries not classified,0,Delaware
--,Total,14202,District of Columbia
11,"Agriculture, forestry, fishing and hunting",0,District of Columbia
21,"Mining, quarrying, and oil and gas extraction",0,District of Columbia
22,Utilities,0,District of Columbia
23,Construction,256,District of Columbia
31-33,Manufacturing,128,District of Columbia
42,Wholesale trade,265,District of Columbia
