NAICS Code,NAICS Description,Total Employment,State
--,Total,113398043.0,United States
11,"Forestry, Fishing, Hunting, and Agriculture Support",180673.0,United States
21,Mining,454550.0,United States
22,Utilities,675938.0,United States
23,Construction,6381404.0,United States
31-33,Manufacturing,14132020.0,United States
42,Wholesale trade,5863860.0,United States
44-45,Retail Trade,14867825.0,United States
48-49,Transportation & Warehousing,4067935.0,United States
51,Information,3599902.0,United States
52,Finance & insurance,6463706.0,United States
53,Real Estate and Rental and Leasing,2044738.0,United States
54,"Professional, Scientific, and Technical Services",7340246.0,United States
55,Management of Companies and Enterprises,2879156.0,United States
56,Administrative and Support and Waste Management and Remediation Services,8511138.0,United States
61,Educational Services,2776615.0,United States
62,Health Care and Social Assistance,15472183.0,United States
71,"Arts, Entertainment, and Recreation",1832985.0,United States
72,Accommodation and Food Services,10439651.0,United States
81,Other Services (except Public Administration),5367166.0,United States
99,Unclassified,46352.0,United States
--,Total,1597529,Alabama
11,"Forestry, Fishing, Hunting, and Agriculture Support",7739,Alabama
21,Mining,7132,Alabama
22,Utilities,14635,Alabama
23,Construction,98639,Alabama
31-33,Manufacturing,279074,Alabama
42,Wholesale Trade,75990,Alabama
44-45,Retail Trade,229384,Alabama
48-49,Transportation and Warehousing,52505,Alabama
51,Information,39624,Alabama
52,Finance and Insurance,72365,Alabama
53,Real Estate and Rental and Leasing,23584,Alabama
54,"Professional, Scientific, and Technical Services",86091,Alabama
55,Management of Companies and Enterprises,17084,Alabama
56,Administrative and Support and Waste Management and Remediation Services,115074,Alabama
61,Educational Services,20699,Alabama
62,Health Care and Social Assistance,221475,Alabama
71,"Arts, Entertainment, and Recreation",14304,Alabama
72,Accommodation and Food Services,139440,Alabama
81,Other Services (except Public Administration),82239,Alabama
99,Unclassified,452,Alabama
--,Total,216807,Alaska
11,"Forestry, Fishing, Hunting, and Agriculture Support",[g],Alaska
21,Mining,6916,Alaska
22,Utilities,1666,Alaska
23,Construction,16267,Alaska
31-33,Manufacturing,9934,Alaska
42,Wholesale Trade,7472,Alaska
44-45,Retail Trade,33625,Alaska
48-49,Transportation and Warehousing,17561,Alaska
51,Information,7016,Alaska
52,Finance and Insurance,6962,Alaska
53,Real Estate and Rental and Leasing,4513,Alaska
54,"Professional, Scientific, and Technical Services",11722,Alaska
55,Management of Companies and Enterprises,2800,Alaska
56,Administrative and Support and Waste Management and Remediation Services,11400,Alaska
61,Educational Services,2740,Alaska
62,Health Care and Social Assistance,37352,Alaska
71,"Arts, Entertainment, and Recreation",4044,Alaska
72,Accommodation and Food Services,23205,Alaska
81,Other Services (except Public Administration),10409,Alaska
99,Unclassified,[b],Alaska
--,Total,1998795,Arizona
11,"Forestry, Fishing, Hunting, and Agriculture Support",1809,Arizona
21,Mining,7638,Arizona
22,Utilities,10164,Arizona
23,Construction,164914,Arizona
31-33,Manufacturing,165057,Arizona
42,Wholesale Trade,89647,Arizona
44-45,Retail Trade,280048,Arizona
48-49,Transportation and Warehousing,86711,Arizona
51,Information,55835,Arizona
52,Finance and Insurance,113555,Arizona
53,Real Estate and Rental and Leasing,42267,Arizona
54,"Professional, Scientific, and Technical Services",107194,Arizona
55,Management of Companies and Enterprises,53763,Arizona
56,Administrative and Support and Waste Management and Remediation Services,227324,Arizona
61,Educational Services,31827,Arizona
62,Health Care and Social Assistance,227592,Arizona
71,"Arts, Entertainment, and Recreation",39196,Arizona
72,Accommodation and Food Services,212157,Arizona
81,Other Services (except Public Administration),81406,Arizona
99,Unclassified,691,Arizona
--,Total,988941,Arkansas
11,"Forestry, Fishing, Hunting, and Agriculture Support",[i],Arkansas
21,Mining,3323,Arkansas
22,Utilities,8102,Arkansas
23,Construction,45333,Arkansas
31-33,Manufacturing,208843,Arkansas
42,Wholesale Trade,44166,Arkansas
44-45,Retail Trade,135479,Arkansas
48-49,Transportation and Warehousing,62250,Arkansas
51,Information,30047,Arkansas
52,Finance and Insurance,34748,Arkansas
53,Real Estate and Rental and Leasing,12071,Arkansas
54,"Professional, Scientific, and Technical Services",32614,Arkansas
55,Management of Companies and Enterprises,25845,Arkansas
56,Administrative and Support and Waste Management and Remediation Services,46844,Arkansas
61,Educational Services,12468,Arkansas
62,Health Care and Social Assistance,146594,Arkansas
71,"Arts, Entertainment, and Recreation",8467,Arkansas
72,Accommodation and Food Services,80522,Arkansas
81,Other Services (except Public Administration),44890,Arkansas
99,Unclassified,[e],Arkansas
--,Total,12991795,California
11,"Forestry, Fishing, Hunting, and Agriculture Support",24724,California
21,Mining,18148,California
22,Utilities,66035,California
23,Construction,808013,California
31-33,Manufacturing,1510049,California
42,Wholesale Trade,794340,California
44-45,Retail Trade,1592087,California
48-49,Transportation and Warehousing,447703,California
