NAICS Code,NAICS Description,Total Employment,State
--,Total,112400654.0,United States
11,"Agriculture, forestry, fishing, & hunting",181162.0,United States
21,Mining,465775.0,United States
22,Utilities,648254.0,United States
23,Construction,6307370.0,United States
31-33,Manufacturing,14393609.0,United States
42,Wholesale trade,5860256.0,United States
44-45,Retail Trade,14819904.0,United States
48-49,Transportation & Warehousing,3581013.0,United States
51,Information,3536120.0,United States
52,Finance & insurance,6414583.0,United States
53,Real estate & rental & leasing,2017347.0,United States
54,"Professional, scientific, & technical services",7046205.0,United States
55,Management of companies & enterprises,2913798.0,United States
56,Administrative & support & waste management & remediation serv,8299217.0,United States
61,Educational services,2701675.0,United States
62,Health care & social assistance,14900148.0,United States
71,"Arts, entertainment, & recreation",1800991.0,United States
72,Accommodation & foodservices,10048875.0,United States
81,Other services (except public administration),5420087.0,United States
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",1011496.0,United States
99,Unclassified,32769.0,United States
--,Total,1581117,Alabama
11,"Agriculture, forestry, fishing, & hunting",[i],Alabama
21,Mining,7357,Alabama
22,Utilities,15022,Alabama
23,Construction,94890,Alabama
31-33,Manufacturing,283356,Alabama
42,Wholesale trade,76391,Alabama
44-45,Retail Trade,224531,Alabama
48-49,Transportation & Warehousing,44756,Alabama
51,Information,38737,Alabama
52,Finance & insurance,76045,Alabama
53,Real estate & rental & leasing,22737,Alabama
54,"Professional, scientific, & technical services",80586,Alabama
55,Management of companies & enterprises,18802,Alabama
56,Administrative & support & waste management & remediation serv,118977,Alabama
61,Educational services,19735,Alabama
62,Health care & social assistance,210185,Alabama
71,"Arts, entertainment, & recreation",13853,Alabama
72,Accommodation & foodservices,128964,Alabama
81,Other services (except public administration),85126,Alabama
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",12025,Alabama
99,Unclassified,[f],Alabama
--,Total,213600,Alaska
11,"Agriculture, forestry, fishing, & hunting",1256,Alaska
21,Mining,7633,Alaska
22,Utilities,1960,Alaska
23,Construction,14067,Alaska
31-33,Manufacturing,10625,Alaska
42,Wholesale trade,6817,Alaska
44-45,Retail Trade,33614,Alaska
48-49,Transportation & Warehousing,17925,Alaska
51,Information,6339,Alaska
52,Finance & insurance,6932,Alaska
53,Real estate & rental & leasing,4311,Alaska
54,"Professional, scientific, & technical services",13231,Alaska
55,Management of companies & enterprises,2678,Alaska
56,Administrative & support & waste management & remediation serv,10147,Alaska
61,Educational services,2568,Alaska
62,Health care & social assistance,35640,Alaska
71,"Arts, entertainment, & recreation",3286,Alaska
72,Accommodation & foodservices,21917,Alaska
81,Other services (except public administration),11997,Alaska
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",603,Alaska
99,Unclassified,54,Alaska
--,Total,1945472,Arizona
11,"Agriculture, forestry, fishing, & hunting",1836,Arizona
21,Mining,8231,Arizona
22,Utilities,10448,Arizona
23,Construction,165875,Arizona
31-33,Manufacturing,167570,Arizona
42,Wholesale trade,84610,Arizona
44-45,Retail Trade,279830,Arizona
48-49,Transportation & Warehousing,80663,Arizona
51,Information,54430,Arizona
52,Finance & insurance,109145,Arizona
53,Real estate & rental & leasing,44398,Arizona
54,"Professional, scientific, & technical services",113699,Arizona
55,Management of companies & enterprises,44734,Arizona
56,Administrative & support & waste management & remediation serv,192657,Arizona
61,Educational services,30549,Arizona
62,Health care & social assistance,214185,Arizona
71,"Arts, entertainment, & recreation",38085,Arizona
72,Accommodation & foodservices,206185,Arizona
81,Other services (except public administration),79830,Arizona
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",18085,Arizona
99,Unclassified,427,Arizona
--,Total,974969,Arkansas
11,"Agriculture, forestry, fishing, & hunting",5955,Arkansas
21,Mining,3361,Arkansas
22,Utilities,8203,Arkansas
23,Construction,43221,Arkansas
31-33,Manufacturing,213866,Arkansas
42,Wholesale trade,42010,Arkansas
44-45,Retail Trade,136090,Arkansas
48-49,Transportation & Warehousing,50117,Arkansas
51,Information,26297,Arkansas
52,Finance & insurance,34346,Arkansas
53,Real estate & rental & leasing,12625,Arkansas
54,"Professional, scientific, & technical services",32992,Arkansas
55,Management of companies & enterprises,24720,Arkansas
56,Administrative & support & waste management & remediation serv,42375,Arkansas
61,Educational services,11519,Arkansas
62,Health care & social assistance,141826,Arkansas
71,"Arts, entertainment, & recreation",8088,Arkansas
72,Accommodation & foodservices,78020,Arkansas
81,Other services (except public administration),42306,Arkansas
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",16489,Arkansas
99,Unclassified,543,Arkansas
--,Total,12856426,California
11,"Agriculture, forestry, fishing, & hunting",23916,California
21,Mining,19569,California
22,Utilities,50733,California
23,Construction,767826,California
31-33,Manufacturing,1559532,California
42,Wholesale trade,811052,California
44-45,Retail Trade,1534667,California
48-49,Transportation & Warehousing,402896,California
51,Information,507689,California
52,Finance & insurance,647876,California
53,Real estate & rental & leasing,286273,California
54,"Professional, scientific, & technical services",1130867,California
55,Management of companies & enterprises,311600,California
56,Administrative & support & waste management & remediation serv,980573,California
61,Educational services,289079,California
62,Health care & social assistance,1431453,California
71,"Arts, entertainment, & recreation",265687,California
72,Accommodation & foodservices,1150913,California
81,Other services (except public administration),578888,California
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",101688,California
99,Unclassified,3649,California
--,Total,1912152,Colorado
11,"Agriculture, forestry, fishing, & hunting",1339,Colorado
21,Mining,12915,Colorado
22,Utilities,7517,Colorado
23,Construction,151106,Colorado
31-33,Manufacturing,149468,Colorado
42,Wholesale trade,100211,Colorado
44-45,Retail Trade,251819,Colorado
48-49,Transportation & Warehousing,52142,Colorado
51,Information,99248,Colorado
52,Finance & insurance,98790,Colorado
53,Real estate & rental & leasing,45732,Colorado
54,"Professional, scientific, & technical services",142815,Colorado
55,Management of companies & enterprises,36880,Colorado
56,Administrative & support & waste management & remediation serv,174014,Colorado
61,Educational services,28991,Colorado
62,Health care & social assistance,198866,Colorado
71,"Arts, entertainment, & recreation",42803,Colorado
72,Accommodation & foodservices,206139,Colorado
81,Other services (except public administration),94137,Colorado
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",16864,Colorado
99,Unclassified,356,Colorado
--,Total,1555595,Connecticut
11,"Agriculture, forestry, fishing, & hunting",515,Connecticut
21,Mining,636,Connecticut
22,Utilities,10919,Connecticut
23,Construction,68711,Connecticut
31-33,Manufacturing,211442,Connecticut
42,Wholesale trade,74597,Connecticut
44-45,Retail Trade,196406,Connecticut
48-49,Transportation & Warehousing,35747,Connecticut
51,Information,46903,Connecticut
